date,county,state,pop,cases,deaths,casesPerCapita,deathsPerCapita,scores,anomaly
43964,Westchester County,New York,9154.0,31610,1368,3.453135241,0.14944286699999998,-0.00469446162064846,-1
43964,Cook County,Illinois,17212.0,56406,2589,3.277132233,0.150418313,-0.005217835217106281,-1
43964,Suffolk County,Massachusetts,1490.0,15587,749,10.46107383,0.502684564,-0.0960249825168793,-1
43965,Suffolk County,New York,1490.0,37544,1745,25.19731544,1.17114094,-0.10899101209397954,-1
43965,Westchester County,New York,9154.0,31791,1380,3.472908018,0.150753769,-0.007314874273534722,-1
43965,Cook County,Illinois,17212.0,58457,2675,3.396293284,0.155414827,-0.00469446162064846,-1
43965,Suffolk County,Massachusetts,1490.0,15881,759,10.65838926,0.509395973,-0.09778173343409458,-1
43966,Suffolk County,New York,1490.0,37719,1757,25.314765100000002,1.1791946309999999,-0.10899101209397954,-1
43966,Westchester County,New York,9154.0,31942,1392,3.4894035389999996,0.15206467099999998,-0.007314874273534722,-1
43966,Cook County,Illinois,17212.0,59905,2762,3.480420637,0.16046944,-0.007314874273534722,-1
43966,Suffolk County,Massachusetts,1490.0,15996,768,10.73557047,0.515436242,-0.09954205375348602,-1
43967,Suffolk County,New York,1490.0,37942,1783,25.46442953,1.196644295,-0.10899101209397954,-1
43967,Westchester County,New York,9154.0,32096,1398,3.506226786,0.15272012199999999,-0.008365523964534272,-1
43967,Cook County,Illinois,17212.0,61212,2814,3.5563560310000004,0.16349058800000002,-0.010998376600080184,-1
43967,Suffolk County,Massachusetts,1490.0,16346,778,10.9704698,0.522147651,-0.09954205375348602,-1
43968,Suffolk County,New York,1490.0,38117,1799,25.58187919,1.20738255,-0.10899101209397954,-1
43968,Westchester County,New York,9154.0,32223,1412,3.520100503,0.154249508,-0.009417596328283429,-1
43968,Cook County,Illinois,17212.0,62218,2839,3.614803625,0.164943063,-0.012054014079519337,-1
43968,Suffolk County,Massachusetts,1490.0,16479,787,11.05973154,0.528187919,-0.09954205375348602,-1
43969,Suffolk County,New York,1490.0,38224,1804,25.65369128,1.210738255,-0.10899101209397954,-1
43969,Westchester County,New York,9154.0,32322,1419,3.530915447,0.155014201,-0.010998376600080184,-1
43969,Cook County,Illinois,17212.0,63690,2889,3.700325354,0.16784801300000002,-0.014169579253938913,-1
43969,Suffolk County,Massachusetts,1490.0,16671,793,11.1885906,0.532214765,-0.09954205375348602,-1
43970,Suffolk County,New York,1490.0,38327,1822,25.72281879,1.222818792,-0.10899101209397954,-1
43970,Westchester County,New York,9154.0,32401,1424,3.5395455539999996,0.155560411,-0.010998376600080184,-1
43970,Cook County,Illinois,17212.0,64691,2980,3.7584824539999997,0.173135022,-0.016290877632656797,-1
43970,Suffolk County,Massachusetts,1490.0,16825,797,11.29194631,0.534899329,-0.09954205375348602,-1
43971,Suffolk County,New York,1490.0,38411,1840,25.77919463,1.234899329,-0.10899101209397954,-1
43971,Westchester County,New York,9154.0,32516,1430,3.5521083680000003,0.15621586199999998,-0.010998376600080184,-1
43971,Cook County,Illinois,17212.0,66213,3074,3.846909133,0.178596328,-0.02161930841376314,-1
43971,Suffolk County,Massachusetts,1490.0,16962,807,11.38389262,0.5416107379999999,-0.09954205375348602,-1
43972,Suffolk County,New York,1490.0,38553,1851,25.87449664,1.242281879,-0.10899101209397954,-1
43972,Westchester County,New York,9154.0,32672,1438,3.569150098,0.157089797,-0.010998376600080184,-1
43972,Cook County,Illinois,17212.0,67551,3114,3.9246455960000004,0.180920288,-0.029139938223545325,-1
43972,Suffolk County,Massachusetts,1490.0,17089,813,11.46912752,0.545637584,-0.09954205375348602,-1
43973,Suffolk County,New York,1490.0,38672,1863,25.95436242,1.25033557,-0.10899101209397954,-1
43973,Westchester County,New York,9154.0,32766,1444,3.579418833,0.157745248,-0.010998376600080184,-1
43973,Cook County,Illinois,17212.0,68949,3187,4.0058679989999995,0.185161515,-0.03022014098442627,-1
