date,county,state,pop,cases,deaths,casesPerCapita,deathsPerCapita,scores,anomaly
43912,Suffolk County,New York,1490.0,1034,12,0.693959732,0.008053691,-0.11550241171824716,-1
43912,Rockland County,New York,17457.0,455,3,0.026064043,0.000171851,-6.293244930954955e-05,-1
43912,New York City County,New York,189885.0,9065,119,0.047739421,0.000626695,-0.05157271586462997,-1
43912,Summit County,Utah,1490.0,50,0,0.033557047,0.0,-0.024049864611306093,-1
43912,Milwaukee County,Wisconsin,6125.0,183,2,0.029877551000000002,0.00032653099999999997,-0.013832899733964954,-1
43912,King County,Washington,28669.0,1036,77,0.036136594,0.002685828,-0.030025258823700107,-1
43912,Cook County,Illinois,17212.0,805,6,0.046769696,0.00034859400000000003,-0.05045383243136203,-1
43912,Los Angeles County,California,14464.0,421,5,0.029106747999999998,0.000345686,-0.012765050250292509,-1
43912,Santa Clara County,California,6131.0,303,11,0.049420975,0.001794161,-0.05157271586462997,-1
43912,Suffolk County,Massachusetts,1490.0,126,2,0.084563758,0.0013422820000000002,-0.071400263592035,-1
43912,Orleans County,Louisiana,14899.0,451,15,0.030270487999999998,0.001006779,-0.01811877688945618,-1
43913,Suffolk County,New York,1490.0,1458,13,0.97852349,0.008724832,-0.11557074948769175,-1
43913,Westchester County,New York,9154.0,2894,0,0.316145947,0.0,-0.10538411655613045,-1
43913,New York City County,New York,189885.0,12329,155,0.064928773,0.0008162839999999999,-0.06011864493151364,-1
43913,Bergen County,New Jersey,17634.0,609,12,0.034535556,0.000680504,-0.002310648437248708,-1
43913,Unknown County,New Jersey,9208.0,416,0,0.045178105999999996,0.0,-0.03288038717357489,-1
43913,Summit County,Utah,1490.0,73,0,0.048993289,0.0,-0.041675413376765946,-1
43913,King County,Washington,28669.0,1166,88,0.040671108,0.003069518,-0.019327352561551936,-1
43913,Cook County,Illinois,17212.0,922,9,0.053567279,0.0005228909999999999,-0.051125040500861196,-1
43913,Los Angeles County,California,14464.0,536,7,0.037057522,0.00048396,-0.004945283027612435,-1
43913,Santa Clara County,California,6131.0,321,11,0.052356875,0.001794161,-0.05000767008611284,-1
43913,Suffolk County,Massachusetts,1490.0,154,3,0.103355705,0.002013423,-0.07782326123113137,-1
43913,Orleans County,Louisiana,14899.0,567,20,0.038056245,0.001342372,-0.012369852843597484,-1
43914,Suffolk County,New York,1490.0,1880,13,1.261744966,0.008724832,-0.10469557351817715,-1
43914,Rockland County,New York,17457.0,671,5,0.038437303,0.000286418,-0.0007115481938932966,-1
43914,Westchester County,New York,9154.0,3891,6,0.425060083,0.000655451,-0.09228957578068298,-1
43914,New York City County,New York,189885.0,14943,230,0.078695,0.001211259,-0.053866522054276667,-1
43914,Bergen County,New Jersey,17634.0,701,14,0.03975275,0.0007939210000000001,-0.005975479944391959,-1
43914,Unknown County,New Jersey,9208.0,645,0,0.070047785,0.0,-0.04716681612650819,-1
43914,Summit County,Utah,1490.0,90,0,0.060402685,0.0,-0.04217761299636458,-1
43914,Milwaukee County,Wisconsin,6125.0,243,3,0.039673468999999996,0.000489796,-0.004919842464952806,-1
43914,King County,Washington,28669.0,1278,95,0.044577767000000004,0.0033136840000000003,-0.016075602869527694,-1
43914,Cook County,Illinois,17212.0,1194,12,0.069370207,0.0006971880000000001,-0.04716681612650819,-1
43914,Los Angeles County,California,14464.0,662,11,0.045768805,0.0007605089999999999,-0.01821853948533292,-1
43914,Santa Clara County,California,6131.0,375,17,0.061164573,0.0027727940000000003,-0.04217761299636458,-1
43914,Suffolk County,Massachusetts,1490.0,234,3,0.15704698,0.002013423,-0.07832546085073,-1
43914,Orleans County,Louisiana,14899.0,675,26,0.045305054000000004,0.001745084,-0.016075602869527694,-1
43915,Bergen County,New Jersey,17634.0,819,15,0.046444369000000006,0.000850629,-0.006196362472032146,-1
43915,New York City County,New York,189885.0,20061,330,0.105648155,0.001737894,-0.0780461890249603,-1
43915,Westchester County,New York,9154.0,4691,6,0.5124535720000001,0.000655451,-0.11407361689168871,-1
43915,Rockland County,New York,17457.0,1069,7,0.06123618,0.000400985,-0.039688548496187304,-1
43915,Suffolk County,New York,1490.0,2260,20,1.5167785230000002,0.013422818999999999,-0.12843051970126773,-1
43915,Unknown County,New Jersey,9208.0,933,0,0.101324935,0.0,-0.07690898876997487,-1
43915,Summit County,Utah,1490.0,90,0,0.060402685,0.0,-0.037519354447549724,-1
43915,Milwaukee County,Wisconsin,6125.0,325,4,0.053061224000000004,0.000653061,-0.022498266019126523,-1
43915,King County,Washington,28669.0,1360,101,0.047437999,0.0035229690000000004,-0.010894001375901685,-1
43915,Cook County,Illinois,17212.0,1418,13,0.08238438299999999,0.000755287,-0.06394119287571898,-1
43915,Fairfield County,Connecticut,11000.0,546,12,0.049636364,0.001090909,-0.015093762487078832,-1
43915,Los Angeles County,California,14464.0,799,13,0.055240597,0.000898783,-0.03158425247507335,-1
43915,Santa Clara County,California,6131.0,459,18,0.07486543799999999,0.0029359,-0.0555920065180423,-1
43915,Suffolk County,Massachusetts,1490.0,342,3,0.22953020100000002,0.002013423,-0.10463104942486734,-1
43915,Orleans County,Louisiana,14899.0,827,37,0.05550708099999999,0.002483388,-0.03158425247507335,-1
43916,Bergen County,New Jersey,17634.0,1206,21,0.068390609,0.001190881,-0.04463881067274389,-1
43916,Rockland County,New York,17457.0,1197,7,0.068568483,0.000400985,-0.04463881067274389,-1
43916,Orange County,New York,14899.0,751,2,0.050406068,0.000134237,-0.011834873838900473,-1
43916,New York City County,New York,189885.0,23182,435,0.12208442,0.00229086,-0.07482990753916419,-1
43916,Suffolk County,New York,1490.0,2735,22,1.83557047,0.014765101000000001,-0.12827086090766027,-1
43916,Westchester County,New York,9154.0,5944,8,0.649333625,0.000873935,-0.11863467372369663,-1
43916,Unknown County,New Jersey,9208.0,1478,0,0.160512598,0.0,-0.0811163419662203,-1
43916,Union County,New Jersey,9208.0,432,3,0.046915725,0.000325804,-0.0034523526329519605,-1
43916,Summit County,Utah,1490.0,103,0,0.069127517,0.0,-0.04463881067274389,-1
43916,Milwaukee County,Wisconsin,6125.0,393,7,0.064163265,0.001142857,-0.034275643782027965,-1
43916,King County,Washington,28669.0,1579,111,0.055076912,0.0038717779999999998,-0.015001788210171063,-1
43916,Cook County,Illinois,17212.0,1904,18,0.110620497,0.0010457819999999999,-0.073123529835735,-1
43916,Fairfield County,Connecticut,11000.0,607,13,0.055181818,0.001181818,-0.015001788210171063,-1
43916,Los Angeles County,California,14464.0,1216,21,0.084070796,0.0014518810000000001,-0.05402471871326353,-1
43916,Santa Clara County,California,6131.0,542,20,0.08840319699999999,0.003262111,-0.055692291064541544,-1
43916,Suffolk County,Massachusetts,1490.0,448,4,0.30067114100000003,0.0026845640000000004,-0.09908646077705507,-1
43916,Orleans County,Louisiana,14899.0,997,46,0.066917243,0.0030874559999999997,-0.0424460067093837,-1
43917,Rockland County,New York,17457.0,1457,8,0.083462221,0.000458269,-0.033498845324755444,-1
43917,Orange County,New York,14899.0,910,3,0.061077925,0.00020135599999999997,-0.008360842903313848,-1
43917,New York City County,New York,189885.0,25509,560,0.134339205,0.002949153,-0.06733979182130201,-1
43917,Westchester County,New York,9154.0,7187,10,0.785121258,0.0010924189999999999,-0.10083795902819648,-1
43917,Suffolk County,New York,1490.0,3385,22,2.2718120809999998,0.014765101000000001,-0.11269723475007076,-1
43917,Unknown County,New Jersey,9208.0,1984,0,0.215464813,0.0,-0.07702241050910064,-1
43917,Union County,New Jersey,9208.0,519,3,0.056364030999999995,0.000325804,-0.0036377081956788793,-1
43917,Bergen County,New Jersey,17634.0,1505,28,0.08534649,0.0015878420000000001,-0.03513070150018238,-1
43917,Summit County,Utah,1490.0,110,0,0.073825503,0.0,-0.024851332891308364,-1
43917,Milwaukee County,Wisconsin,6125.0,468,9,0.076408163,0.0014693879999999999,-0.028083184798575744,-1
