REGION,WEEK,ILITOTAL
New Jersey,3/3/2018,1335
New Mexico,3/3/2018,849
New York,3/3/2018,576
North Carolina,3/3/2018,462
North Dakota,3/3/2018,36
Ohio,3/3/2018,368
Oklahoma,3/3/2018,292
Oregon,3/3/2018,1005
Pennsylvania,3/3/2018,2149
Rhode Island,3/3/2018,143
South Carolina,3/3/2018,240
South Dakota,3/3/2018,437
Tennessee,3/3/2018,160
Texas,3/3/2018,1833
Utah,3/3/2018,730
Vermont,3/3/2018,110
Virginia,3/3/2018,4506
Washington,3/3/2018,123
West Virginia,3/3/2018,273
Wisconsin,3/3/2018,215
Wyoming,3/3/2018,194
Alabama,3/10/2018,1034
Alaska,3/10/2018,436
Arizona,3/10/2018,535
Arkansas,3/10/2018,135
California,3/10/2018,1813
Colorado,3/10/2018,455
Connecticut,3/10/2018,169
Delaware,3/10/2018,25
Georgia,3/10/2018,1783
Hawaii,3/10/2018,77
Idaho,3/10/2018,7
Illinois,3/10/2018,1081
Indiana,3/10/2018,132
Iowa,3/10/2018,64
Kansas,3/10/2018,375
Kentucky,3/10/2018,399
Louisiana,3/10/2018,1547
Maine,3/10/2018,23
Maryland,3/10/2018,189
Massachusetts,3/10/2018,765
Michigan,3/10/2018,595
Minnesota,3/10/2018,264
Mississippi,3/10/2018,574
Missouri,3/10/2018,122
Montana,3/10/2018,19
Nebraska,3/10/2018,530
Nevada,3/10/2018,260
New Hampshire,3/10/2018,51
New Jersey,3/10/2018,1087
New Mexico,3/10/2018,587
New York,3/10/2018,402
North Carolina,3/10/2018,360
North Dakota,3/10/2018,16
Ohio,3/10/2018,347
Oklahoma,3/10/2018,228
Oregon,3/10/2018,804
Pennsylvania,3/10/2018,1420
Rhode Island,3/10/2018,115
South Carolina,3/10/2018,192
South Dakota,3/10/2018,334
Tennessee,3/10/2018,85
Texas,3/10/2018,1286
Utah,3/10/2018,613
Vermont,3/10/2018,89
Virginia,3/10/2018,3498
Washington,3/10/2018,93
West Virginia,3/10/2018,176
Wisconsin,3/10/2018,233
Wyoming,3/10/2018,200
Alabama,3/17/2018,945
Alaska,3/17/2018,365
Arizona,3/17/2018,550
Arkansas,3/17/2018,95
California,3/17/2018,1658
Colorado,3/17/2018,360
Connecticut,3/17/2018,87
Delaware,3/17/2018,39
Georgia,3/17/2018,1655
Hawaii,3/17/2018,55
Idaho,3/17/2018,15
Illinois,3/17/2018,1051
Indiana,3/17/2018,76
Iowa,3/17/2018,61
Kansas,3/17/2018,243
Kentucky,3/17/2018,262
Louisiana,3/17/2018,1430
Maine,3/17/2018,41
Maryland,3/17/2018,171
Massachusetts,3/17/2018,669
Michigan,3/17/2018,442
Minnesota,3/17/2018,210
Mississippi,3/17/2018,486
Missouri,3/17/2018,38
Montana,3/17/2018,14
Nebraska,3/17/2018,428
Nevada,3/17/2018,269
New Hampshire,3/17/2018,22
New Jersey,3/17/2018,933
New Mexico,3/17/2018,551
New York,3/17/2018,345
North Carolina,3/17/2018,369
North Dakota,3/17/2018,10
Ohio,3/17/2018,301
Oklahoma,3/17/2018,170
Oregon,3/17/2018,946
Pennsylvania,3/17/2018,1319
Rhode Island,3/17/2018,109
South Carolina,3/17/2018,166
South Dakota,3/17/2018,360
Tennessee,3/17/2018,71
Texas,3/17/2018,817
Utah,3/17/2018,445
Vermont,3/17/2018,53
Virginia,3/17/2018,3419
Washington,3/17/2018,114
West Virginia,3/17/2018,146
Wisconsin,3/17/2018,158
Wyoming,3/17/2018,183
Alabama,3/24/2018,837
Alaska,3/24/2018,342
Arizona,3/24/2018,640
Arkansas,3/24/2018,41
California,3/24/2018,1457
Colorado,3/24/2018,313
Connecticut,3/24/2018,172
Delaware,3/24/2018,30
Georgia,3/24/2018,1381
Hawaii,3/24/2018,42
Idaho,3/24/2018,19
Illinois,3/24/2018,958
Indiana,3/24/2018,154
Iowa,3/24/2018,34
Kansas,3/24/2018,178
Kentucky,3/24/2018,260
Louisiana,3/24/2018,1312
Maine,3/24/2018,33
Maryland,3/24/2018,131
Massachusetts,3/24/2018,589
Michigan,3/24/2018,547
